Gene	TP53	ATM	EGFR	APC	CTNNB1	VCAN	NFYC	STK11	SIK1	ERBB2	MET	TFDP1	SMAD4	SMARCA4	MAX	USP7	CDC42	TTC5	BRCA1	CASP1	LAMA4	CASP3	HGF	APAF1	MDM2	SH2D1A	BCL2L1	MYC	CSE1L	BARD1	ATF2	MACF1	CHD3	PRKDC	GRB2	DST	RB1	BCL6	RAC1	MLH1	E2F1	SP1	SERPINB5	RIF1	ZHX1	PIK3CA	MAPK14	ATR	NGFR	ATF7IP	JUN	XRCC6	NLRC4	TRIAP1	NRXN1	DYRK2	TRRAP	KAT2B	PMS2	SKIL	GSK3B	NAV3	PPP1CA	HIF1A	ANXA7	PAK1	PRMT5	ANKS1B	TSC2	CDK4	NFYB	BAX	SETDB1	XRCC5	HTT	RBBP8	CASP10	IGFBP3	PPP1R13L	KRAS	MMP2	UBE2I	PTEN	PTPRB	MYO16	ESR2	ANXA3	ERBB3	ERBB4	PTPRC	SMYD2	DVL2	MTOR	CASP6	BMP1	CEBPZ	PRKAB1	DUSP5	IRS4	SORT1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0
GeneName	TP53	ATM	EGFR	APC	CTNNB1	VCAN	NFYC	STK11	SIK1	ERBB2	MET	TFDP1	SMAD4	SMARCA4	MAX	USP7	CDC42	TTC5	BRCA1	CASP1	LAMA4	CASP3	HGF	APAF1	MDM2	SH2D1A	BCL2L1	MYC	CSE1L	BARD1	ATF2	MACF1	CHD3	PRKDC	GRB2	DST	RB1	BCL6	RAC1	MLH1	E2F1	SP1	SERPINB5	RIF1	ZHX1	PIK3CA	MAPK14	ATR	NGFR	ATF7IP	JUN	XRCC6	NLRC4	TRIAP1	NRXN1	DYRK2	TRRAP	KAT2B	PMS2	SKIL	GSK3B	NAV3	PPP1CA	HIF1A	ANXA7	PAK1	PRMT5	ANKS1B	TSC2	CDK4	NFYB	BAX	SETDB1	XRCC5	HTT	RBBP8	CASP10	IGFBP3	PPP1R13L	KRAS	MMP2	UBE2I	PTEN	PTPRB	MYO16	ESR2	ANXA3	ERBB3	ERBB4	PTPRC	SMYD2	DVL2	MTOR	CASP6	BMP1	CEBPZ	PRKAB1	DUSP5	IRS4	SORT1
MutualExclScore	70.20523088023094	12.722691197691198	32.12579365079363	8.081746031746032	4.7250000000000005	11.336147186147183	3.342099567099567	19.982575757575756	1.2004329004329004	6.746825396825397	5.278968253968254	7.080158730158731	9.32777777777778	9.368686868686869	1.95	2.2261904761904763	1.3166666666666667	1.8111111111111111	2.877777777777778	1.1087662337662338	3.6408730158730163	5.410714285714286	5.310317460317461	2.9032106782106784	0.7575757575757576	0.375	6.169047619047619	0.5333333333333333	4.083333333333334	0.9004329004329004	2.6416666666666666	7.4825396825396835	2.9992424242424245	8.550468975468975	1.0333333333333332	13.701587301587297	5.843650793650794	6.163492063492065	7.281349206349207	0.8884920634920634	0.5611111111111111	0.575	2.541666666666667	4.042099567099568	1.1325757575757576	6.523015873015874	0.5	3.0194805194805197	0.8611111111111112	6.499603174603175	0.375	1.3428571428571427	1.4583333333333333	1.101190476190476	10.108405483405482	1.0	4.587734487734488	1.0166666666666666	0.9261904761904762	7.398015873015875	0.0	17.345274170274163	0.3333333333333333	1.1111111111111112	0.2909090909090909	2.6761904761904765	0.8194444444444444	3.923088023088023	1.6428571428571428	11.039285714285713	0.8690476190476191	0.8333333333333333	2.7444444444444445	1.6190476190476188	2.4607864357864355	7.978571428571429	0.35757575757575755	0.7833333333333333	1.5611111111111111	44.23654401154405	2.3333333333333335	0.14285714285714285	1.2	5.142099567099567	5.4448412698412705	0.46785714285714286	1.0	1.9456349206349204	5.3988455988455994	6.056782106782108	0.7916666666666666	0.825	3.5678571428571435	0.225	1.25	1.575	0.9166666666666665	0.39285714285714285	5.027380952380953	0.6166666666666667
MutQty	238	49	80	26	16	49	13	74	6	21	19	23	28	30	6	11	6	6	14	6	24	18	27	13	3	2	15	2	16	5	9	34	13	36	4	65	28	20	23	6	3	3	7	19	6	23	3	16	4	24	3	6	6	5	49	1	25	5	5	25	0	76	1	2	2	9	5	16	7	33	4	3	8	6	12	22	3	3	7	152	12	1	6	27	27	3	3	9	30	25	4	4	15	2	6	4	3	2	21	4
TCGA-64-1681-01	1	1	1																										1													1																																																										
TCGA-17-Z017-01	1	1				1								1																																																																		1																				
TCGA-69-8255-01	1	1					1							1											1					1				1																					1		1											1							1																									
TCGA-55-1596-01	1	1						1		1				1																																																																																						
TCGA-86-8673-01	1	1											1																							1																										1																																						
TCGA-44-7662-01	1	1														1																												1																																							1						1						1				1	
TCGA-MP-A4TI-01	1	1																														1														1									1							1								1										1																				
TCGA-93-8067-01	1	1																																1																		1																	1											1									1											
TCGA-17-Z062-01	1	1																																		1																										1																						1																
TCGA-93-A4JN-01	1	1																																			1																																																															
TCGA-64-5775-01	1	1																																																																														1																				
TCGA-62-A46Y-01	1	1																																																																																																		
TCGA-05-4402-01	1		1	1																																												1																																																				
TCGA-86-8280-01	1		1		1			1																																																																																												
TCGA-97-8172-01	1		1			1																					1										1																																																															
TCGA-55-1594-01	1		1			1																							1							1																																																																
TCGA-86-A4P7-01	1		1			1																																																	1																																													
TCGA-MP-A4TF-01	1		1					1											1															1																					1		1																1							1									1											
TCGA-05-4415-01	1		1					1																													1		1																							1																		1																				
TCGA-50-5939-01	1		1					1																																														1								1								1											1				1															
TCGA-95-7947-01	1		1							1											1											1				1	1				1					1																																																						
TCGA-38-4629-01	1		1							1																																																																																									1	
TCGA-91-6847-01	1		1								1	1																									1																																																															
TCGA-50-5933-01	1		1								1																									1			1	1										1														1																				1																
TCGA-55-8620-01	1		1									1							1								1																					1							1							1																											1					1						
TCGA-62-8394-01	1		1									1							1																																																																																	
TCGA-L9-A444-01	1		1									1									1													1																					1																																			1										
TCGA-55-8096-01	1		1										1																							1																																		1														1											1					1
TCGA-49-4490-01	1		1										1																																																																																							
TCGA-55-A48Z-01	1		1											1																							1																				1																																											
TCGA-55-7570-01	1		1													1			1																																																								1															1										
TCGA-75-6211-01	1		1																			1					1		1										1																																																													
TCGA-55-8514-01	1		1																			1												1																																														1																			1	
TCGA-MP-A4T9-01	1		1																						1																																																																											
TCGA-50-6591-01	1		1																										1																																																																							
TCGA-38-6178-01	1		1																															1																																																																		
TCGA-55-6968-01	1		1																																		1					1																									1									1														1										1
TCGA-93-A4JP-01	1		1																																		1																																										1																					
TCGA-86-8074-01	1		1																																		1																																																															
TCGA-50-5066-01	1		1																																				1																													1								1								1						1										
TCGA-50-6673-01	1		1																																				1																																																													
TCGA-97-A4M1-01	1		1																																				1																																																													
TCGA-05-5423-01	1		1																																								1																																																									
TCGA-44-6147-01	1		1																																																						1																																											
TCGA-67-3770-01	1		1																																																							1										1																															1	
TCGA-50-6595-01	1		1																																																																																		1															
TCGA-44-A4SU-01	1		1																																																																																												1					
TCGA-75-6207-01	1		1																																																																																																1	
TCGA-55-7573-01	1		1																																																																																																	
TCGA-86-8075-01	1		1																																																																																																	
TCGA-86-8055-01	1		1																																																																																																	
TCGA-97-8547-01	1		1																																																																																																	
TCGA-50-5944-01	1		1																																																																																																	
TCGA-71-8520-01	1		1																																																																																																	
TCGA-17-Z047-01	1		1																																																																																																	
TCGA-69-7760-01	1		1																																																																																																	
TCGA-62-8402-01	1		1																																																																																																	
TCGA-62-A46U-01	1		1																																																																																																	
TCGA-78-7147-01	1		1																																																																																																	
TCGA-55-5899-01	1			1		1															1																																		1							1					1																	1				1												
TCGA-55-7913-01	1			1				1				1																																																		1																	1																					
TCGA-44-A4SS-01	1			1						1																					1																								1																																													
TCGA-91-6840-01	1			1								1	1																																																																																1							
TCGA-17-Z003-01	1			1																	1															1																			1							1																																						
TCGA-55-8510-01	1			1																			1																																		1					1																							1				1			1								
TCGA-17-Z007-01	1			1																			1																																																																													
TCGA-64-1678-01	1			1																														1																																																															1			
TCGA-44-7661-01	1			1																																1																	1				1					1																		1			1																	
TCGA-17-Z001-01	1			1																																1																			1																													1																
TCGA-17-Z037-01	1			1																																																																												1										1										
TCGA-05-4384-01	1				1					1																										1																																																																
TCGA-55-8085-01	1				1													1																																																																						1												
TCGA-MP-A4SV-01	1				1															1	1													1																												1																							1				1											
TCGA-05-4395-01	1					1		1								1																																																																1				1																
TCGA-38-4625-01	1					1			1				1								1			1																				1																									1								1													1										
TCGA-17-Z049-01	1					1				1													1														1																									1																												1										
TCGA-55-8511-01	1					1					1		1																							1			1																		1																																	1										
TCGA-78-7143-01	1					1					1																					1					1																																																															
TCGA-55-7576-01	1					1						1												1												1													1						1							1																		1																				
TCGA-64-1679-01	1					1							1			1																																																																																				
TCGA-53-A4EZ-01	1					1							1								1											1	1																								1	1				1																												1			1						1	
TCGA-44-7669-01	1					1							1																							1	1													1					1							1														1									1															
TCGA-55-6969-01	1					1								1																																																													1																									
TCGA-55-6975-01	1					1								1																																																																		1																				
TCGA-99-8028-01	1					1												1					1																																													1											1	1				1					1											
TCGA-MP-A4TK-01	1					1													1														1						1																															1										1										1										
TCGA-55-7910-01	1					1																1							1																		1								1					1																				1	1								1											
TCGA-17-Z023-01	1					1																									1	1																1									1			1		1																																						
TCGA-55-6985-01	1					1																														1																										1																																						
TCGA-78-7146-01	1					1																																								1																1																																						
TCGA-86-8672-01	1					1																																										1												1						1																		1																
TCGA-17-Z015-01	1					1																																										1																																					1															
TCGA-83-5908-01	1					1																																												1																									1					1																				
TCGA-73-4666-01	1					1																																														1										1											1								1																			
TCGA-50-5068-01	1					1																																																								1																																						
TCGA-O1-A52J-01	1					1																																																																1																														
TCGA-53-7626-01	1					1																																																																																			1											
TCGA-78-7542-01	1					1																																																																																													1	
TCGA-95-7944-01	1					1																																																																																														
TCGA-44-7660-01	1						1														1											1					1	1																						1										1																														
TCGA-05-4396-01	1						1																1											1		1																																							1	1																								
TCGA-49-4488-01	1						1																																																1							1												1											1															
TCGA-86-7701-01	1							1	1																													1																						1																																								
TCGA-99-8025-01	1							1				1																								1																																												1	1																			
TCGA-44-A479-01	1							1						1	1																																								1		1																																											
TCGA-44-6779-01	1							1								1																																																																																				
